@relation CityBeatEvents
@attribute AvgCaptionLen real
@attribute AvgPhotoDis real
@attribute AvgPhotoDisbyCap real
@attribute CaptionPercentage real
@attribute PredictedStd real
@attribute TopWordPopularity real
@attribute Zscore real
@attribute Entropy real
@attribute tfidf1 real
@attribute tfidf2 real
@attribute tfidf3 real
@attribute NumberOfHashtages1 real
@attribute NumberOfHashtages2 real
@attribute NumberOfHashtages3 real
@attribute NumberOfPhotsoContaingTopWord1 real
@attribute NumberOfPhotsoContaingTopWord2 real
@attribute NumberOfPhotsoContaingTopWord3 real
@attribute Top10PhotoLocationNameFreq real
@attribute Top3PhotoLocationNameSame real
@attribute ID string
@attribute label {1,-1}
@data
39.3 , 0.0575158488207 , 386.274166067 , 1.0 , 2.42146847448 , 0.433333333333 , 6.57988518896 , 2.39428114771 , 2.45146851987 , 0.983034573625 , 0.62375430697 , 1.16666666667 , 1.16666666667 , 3.0 , 6 , 6 , 1 , 0.5 , 0 , 51148308c2a3754cfe668f8e , 1
15.9 , 0.0579096361945 , 114.593527318 , 1.0 , 5.86843189721 , 0.6 , 5.40215365069 , 2.56371698713 , 4.10931136386 , 2.31258033991 , 0 , 0.5 , 0.428571428571 , 2.0 , 10 , 7 , 1 , 0.7 , 0 , 51147952c2a3754cfe6684ee , 1
52.0 , 0.27114132871 , 501.615426757 , 1.0 , 2.1774615157 , 0.2 , 3.63233361713 , 2.900051699 , 1.08981714187 , 0.64637209306 , 0.62375430697 , 0.0 , 0.5 , 1.5 , 2 , 2 , 2 , 0.3 , 0 , 51147facc2a3754cfe668c48 , 1
58.2 , 0.116852583162 , 582.27745949 , 1.0 , 0.951286709564 , 0.4 , 6.15304147896 , 2.39428114771 , 2.47830461212 , 2.11281264987 , 0.576753944046 , 1.14285714286 , 1.16666666667 , 1.33333333333 , 7 , 6 , 3 , 0.3 , 0 , 51148bb8c2a3754cfe669bd6 , 1
45.4 , 0.157239747514 , 440.702120643 , 1.0 , 1.21359213603 , 0.633333333333 , 5.04711108513 , 2.39428114771 , 4.72085666647 , 3.30672713235 , 0.56497564048 , 1.0 , 1.0 , 1.8 , 8 , 8 , 5 , 0.6 , 0 , 51148712c2a3754cfe669570 , 1
44.9 , 0.204587039644 , 641.295849105 , 1.0 , 1.81670929946 , 0.2 , 3.68468385103 , 2.56371698713 , 1.29618613726 , 0.62375430697 , 0.605522151291 , 1.0 , 0.666666666667 , 0.0 , 3 , 3 , 1 , 0.2 , 0 , 51148a80c2a3754cfe66997f , 1
42.3 , 0.170282462031 , 563.204337258 , 1.0 , 3.00913386378 , 0.433333333333 , 3.78112761007 , 2.62924922386 , 2.53719612995 , 1.24750861394 , 0.831416045601 , 0.4 , 0.4 , 0.5 , 5 , 5 , 4 , 0.5 , 0 , 51147caac2a3754cfe668801 , 1
50.9 , 0.0328138627834 , 506.216103331 , 1.0 , 2.6849495669 , 0.466666666667 , 4.61417183559 , 2.2450986816 , 3.2694514256 , 2.42208860516 , 1.86757086072 , 0.166666666667 , 0.2 , 1.25 , 6 , 5 , 4 , 0.5 , 0 , 51148f61c2a3754cfe66a1aa , 1
55.5 , 0.143082007007 , 588.986123217 , 1.0 , 1.36387696242 , 0.4 , 3.96707818263 , 2.76031369731 , 1.6944252278 , 1.6347257128 , 1.55829490542 , 1.0 , 0.8 , 1.0 , 8 , 5 , 5 , 0.0 , 0 , 51148d4dc2a3754cfe669e6d , 1
55.9 , 0.308362968336 , 619.868170891 , 1.0 , 2.39012289642 , 0.2 , 5.42520021277 , 2.86032077783 , 1.24750861394 , 0.933785430358 , 0.695506625934 , 0.0 , 0.0 , 0.0 , 3 , 2 , 2 , 0.3 , 0 , 51147a4fc2a3754cfe66858e , 1
95.2 , 0.248087888305 , 410.749838143 , 1.0 , 1.80496591753 , 0.133333333333 , 6.85806431164 , 2.7528553052 , 0.665038481018 , 0.62375430697 , 0.62375430697 , 3.5 , 4.0 , 0.0 , 2 , 1 , 1 , 0.1 , 0 , 511486b7c2a3754cfe6694e2 , 1
30.4 , 0.378925101639 , 510.389656415 , 1.0 , 4.2701548 , 0.166666666667 , 3.03233671103 , 2.86557685521 , 0.725494655393 , 0.544908570934 , 0.501376763808 , 0.0 , 0.0 , 0.0 , 2 , 2 , 1 , 0.3 , 0 , 511479e7c2a3754cfe668564 , 1
67.8 , 0.285719399947 , 619.596699305 , 1.0 , 5.49254364912 , 0.3 , 4.07775856827 , 2.9708400131 , 2.17963428374 , 0.792892288519 , 0.62375430697 , 1.25 , 1.66666666667 , 0.0 , 4 , 3 , 2 , 0.2 , 0 , 511478ebc2a3754cfe6684c5 , 1
47.3 , 0.127636385238 , 586.239051216 , 1.0 , 1.78465336887 , 0.3 , 5.32656946884 , 2.76031369731 , 2.16031022876 , 0.605522151291 , 0.605522151291 , 1.0 , 1.0 , 2.5 , 5 , 2 , 2 , 0.2 , 0 , 51148a6cc2a3754cfe669960 , 1
13.1 , 0.00891482392806 , 107.705009005 , 1.0 , 2.81010791547 , 0.4 , 5.7739281148 , 2.2450986816 , 0.544908570934 , 0 , 0 , 0.5 , 1.0 , 1.0 , 10 , 1 , 1 , 0.8 , 0 , 51147c8bc2a3754cfe6687e2 , 1
27.8 , 0.240969323003 , 509.730531138 , 1.0 , 2.35189042161 , 0.366666666667 , 4.24604537903 , 2.7528553052 , 3.02761075646 , 1.0432599389 , 1.02484925499 , 1.2 , 0.8 , 0.8 , 5 , 5 , 5 , 0.5 , 0 , 51147f9ac2a3754cfe668c31 , 1
59.9 , 0.156146605085 , 642.40158519 , 1.0 , 1.48357918304 , 0.166666666667 , 4.04024079911 , 2.7947885411 , 1.08981714187 , 0.590107083308 , 0.576753944046 , 0.0 , 0.5 , 2.0 , 2 , 2 , 1 , 0.1 , 0 , 51148d70c2a3754cfe669ea6 , 1
57.3 , 0.236794812148 , 606.040942729 , 1.0 , 6.92265717723 , 0.266666666667 , 3.48752752123 , 2.7528553052 , 1.44073756332 , 1.3051420262 , 1.24750861394 , 1.25 , 1.25 , 3.0 , 4 , 4 , 2 , 0.5 , 1 , 51147969c2a3754cfe66850e , 1
44.4 , 0.398695976835 , 444.969921268 , 1.0 , 2.4846900849 , 0.3 , 4.42870830155 , 2.900051699 , 0.810222156426 , 0.62375430697 , 0.605522151291 , 0.6 , 0.666666666667 , 0.0 , 5 , 3 , 1 , 0.2 , 0 , 51147a63c2a3754cfe6685e4 , 1
61.1 , 0.25319827672 , 637.030854976 , 1.0 , 1.51765030688 , 0.2 , 4.7951185022 , 2.86557685521 , 0.847212613899 , 0.779147452711 , 0.669434262362 , 1.0 , 1.0 , 1.0 , 2 , 2 , 2 , 0.1 , 0 , 51148d4fc2a3754cfe669e7a , 1
